Venue,Citations
In Proc. 1st Workshop on Spatial and Spatiotemporal Data Mining (SSTDM in conjunction with ICDM06,2.0
In Proc. 2003 Int. Conf. Data Mining,27.0
In Proc. 2007 ACM SIGKDD Int. Conf. Knowledge Discovery in Databases (KDD07,124.0
In Proc. 2007 Int. Conf. Data Engineering (ICDE07,28.0
In Proc. 2007 Int. Conf. on Very Large Data Bases (VLDB07,46.0
In Proc. 2008 Int. Conf. Data Mining (ICDM08,6.0
"In Proc. 2010 intl. conference on Management of data, SIGMOD 10",20.0
In Proc. 21th Symposium on Principles of Database Systems (PODS 2002,16.0
In Proc. 22th Int. Conf. on Very Large Data Bases,26.0
In Proc. 24th IEEE-ICDE,3.0
In Proc. 24th Int. Conf. on Data Engineering,20.0
In Proc. 29th International Conference on Data Engineering,15.0
In Proc. 30th VLDB Conf,65.0
In Proc. 31st International Conference on Very Large Databases (VLDB,42.0
In Proc. 32nd Int. Conf. on Very Large Data Bases (VLDB06,16.0
In Proc. 6th IEEE Intl. Conf. on Data Mining Workshops,3.0
In Proc. ACM PODS,12.0
In Proc. ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,38.0
In Proc. ACM SIGMOD,139.0
In Proc. ACM SIGMOD Int&apos;l Conference on Management of Data,34.0
In Proc. ACM SIGMOD Int. Conf. on Management of Data,347.0
In Proc. ACM SIGMOD Int. Conf. on Management of Data (SIGMOD,3.0
In Proc. ACM Symp. on Principles of Database Systems,3.0
In Proc. CIDR15,6.0
In Proc. Conference on Innovative Data Systems Research (CIDR,22.0
In Proc. EDBT,84.0
In Proc. ICDE,159.0
In Proc. ICDM06,11.0
In Proc. IEEE ICDM02,6.0
In Proc. Int. Conf. of Extending Database Technology (EDBT&apos;98,106.0
In Proc. Int. Conf. on Data Eng. (ICDE,55.0
"In Proc. Int. Conf. on Data Mining, ICDM",16.0
In Proc. Int. Conf. on Extending Database Technology (EDBT,29.0
In Proc. Int. Conf. on Very Large Data Bases (VLDB,38.0
In Proc. International Conf. on Very Large Databases,59.0
In Proc. Intl. Conf. on Data Engineering (ICDE,44.0
In Proc. Of the VLDB Endowment,21.0
In Proc. PODS,130.0
In Proc. PODS05,47.0
In Proc. SIGMOD,178.0
In Proc. SIGMOD 11,26.0
In Proc. SIGMOD 2009,8.0
In Proc. SIGMOD Conference,48.0
"In Proc. SIGMOD, Snowbird",2.0
In Proc. VLDB,328.0
In Proc. VLDB 2004,120.0
In Proc. VLDB 2011,2.0
In Proc. of 24th VLDB Conference,8.0
In Proc. of ACM SIGMOD,235.0
In Proc. of ACM SIGMOD Conf. on Management of Data,496.0
"In Proc. of CIDR03, Asilomar",7.0
In Proc. of CIDR03; Asilomar,36.0
In Proc. of DMKD,2.0
In Proc. of EDBT,8.0
In Proc. of EDBT06,46.0
In Proc. of Extending Database Technology (EDBT,4.0
In Proc. of Fourth IEEE Intl. Conf. on Data Mining,10.0
In Proc. of ICDE,61.0
In Proc. of ICDE 2006,9.0
In Proc. of ICDE 2009,106.0
In Proc. of ICDE09,130.0
In Proc. of ICDT,22.0
"In Proc. of IIMAS08, ICDE 2008 workshop",6.0
In Proc. of International Conference on Data Engineering (ICDE,17.0
In Proc. of International Conference on Very Large Databases,12.0
In Proc. of PODS 2003,150.0
In Proc. of SIGMOD,192.0
In Proc. of SIGMOD Conf,35.0
In Proc. of SIGMOD-05,87.0
In Proc. of SIGMOD06,75.0
In Proc. of VI Int&apos;l on Extending Database Technology,5.0
In Proc. of VLDB,987.0
In Proc. of WebDB,7.0
In Proc. of the 11th EDBT,6.0
In Proc. of the 12th International Conference on Extending Database Technology (EDBT). Saint-Petersburg,15.0
In Proc. of the 1998 Intl. Conf. on Extending Database Technology,5.0
In Proc. of the 19th VLDB Conference,7.0
In Proc. of the 2002 ACM SIGMOD Intl. Conf. on Management of Data,135.0
In Proc. of the 2002 International Conference on Data Engineering (ICDE'02,4.0
In Proc. of the 2004 ACM SIGMOD Intl. Conf. on Management of Data,100.0
In Proc. of the 2005 ACM SIGMOD International Conference on Management of Data,368.0
In Proc. of the 2005 Intl. Conf. on Very Large Data Bases,34.0
In Proc. of the 2006 SIGMOD Conf,37.0
In Proc. of the 22nd ICDE Conf,89.0
In Proc. of the 22nd Int. Conf. on Very Large Data Bases (VLDB&apos;96,100.0
In Proc. of the 22nd International Conference on Data Engineering (ICDE06,5.0
In Proc. of the 27th ICDE Conference,2.0
In Proc. of the 30th VLDB Conf,26.0
In Proc. of the 31st International Conference on Very Large Data Bases (VLDB 2005,8.0
In Proc. of the 33 rd Intl. Conf. on Very Large Databases (VLDB,41.0
In Proc. of the 35th VLDB Conf,140.0
In Proc. of the 8th Intl. Conf. on Extending Database Technology (EDBT,28.0
In Proc. of the ACM SIGMOD,7.0
In Proc. of the ACM SIGMOD Conf. on Management of Data,52.0
In Proc. of the ACM SIGMOD Conference,34.0
In Proc. of the ACM SIGMOD Int. Conf. on Management of Data,12.0
In Proc. of the Conf. on Extending Database Technology (EDBT,30.0
In Proc. of the IEEE ICDM Workshop on Data Mining in Bioinformatics,8.0
In Proc. of the IEEE Intl. Conf. on Data Engineering,4.0
In Proc. of the Int. Conf. on Very Large Data Bases (VLDB,79.0
In Proc. of the Int. IEEE Conf. on Data Engineering (ICDE,176.0
In Proc. of the International Conference on Extending Data Base Technology (EDBT,6.0
In Proc. of the International Workshop on Clustering Information Over the Web (ClustWeb 2004,20.0
In Proc. of the Intl. Conference on Scientific and Statistical Databases,2.0
In Proc. of the Sixth IEEE Int. Conf. on Data Mining (ICDM06,18.0
In Proc. of the VLDB,34.0
In Proc. the 21th IEEE Intl Conf. on Data Engineering (ICDE,48.0
In Procedings of the ACM SIGMOD International Conference on Management of Data (SIGMOD,7.0
In Proceedings ACM SIGMOD International Conference on Management of Data. 681694,24.0
In Proceedings Fourteenth International Conference on Very Large Databases (VLDB,3.0
In Proceedings PODS 2008,36.0
In Proceedings of 22th International Conference on Very Large Data Bases,18.0
In Proceedings of 23rd International Conference on Very Large Data Bases,32.0
In Proceedings of 25th International Conference on Very Large Data Bases,27.0
In Proceedings of 26th International Conference on Very Large Data Bases,44.0
In Proceedings of ACM SIGMOD,119.0
In Proceedings of ACM SIGMOD International Conference on Management of Data,367.0
In Proceedings of ICDE Conference,6.0
In Proceedings of ICDM02,81.0
In Proceedings of International Conference on Extending Database Technology (EDBT,38.0
In Proceedings of International Conference on Very Large Databases (VLDB,31.0
In Proceedings of SIGMOD,199.0
In Proceedings of SIGMOD 2003,16.0
In Proceedings of SIGMOD 2004,29.0
In Proceedings of VLDB 2001,91.0
In Proceedings of VLDB Conference,948.0
In Proceedings of VLDB07,24.0
In Proceedings of the 10th International Conference on Extending Database Technology (EDBT,24.0
In Proceedings of the 12th International,3.0
In Proceedings of the 12th Intl Conf. on Extending Database Technology,11.0
In Proceedings of the 14th International Conference on Extending Database Technology,3.0
In Proceedings of the 15th International Conference on Data Engineering (ICDE); IEEE,4.0
In Proceedings of the 16th Conference on Extending Database Technology,2.0
In Proceedings of the 17th International Conference on Extending Database Technology,15.0
In Proceedings of the 18 th ACM Symposium on Principles of Database Systems (PODS99,7.0
In Proceedings of the 1987 ACM International Conference on Management ofData (S1GMOD&apos;87,358.0
In Proceedings of the 1991 ACM SIGMOD International Conference on Management of Data,52.0
In Proceedings of the 1993 ACM SIGMOD International Conference on Management of Data,57.0
In Proceedings of the 1993 ACM SIGMOD International Conference on the Management of Data,22.0
In Proceedings of the 1998 ACM-SIGMOD Conference,80.0
In Proceedings of the 1st Symposium on Innovations in Computer Science,27.0
In Proceedings of the 2002 IEEE International Conference on Data Mining (ICDM 2002,16.0
In Proceedings of the 2003 ACM SIGMOD International Conference on Management of Data,170.0
In Proceedings of the 2004 ACM SIGMOD international conference on Managementof data; pages 925926,0.0
"In Proceedings of the 2005 SIGMOD Conference, ACM",5.0
In Proceedings of the 2008 ACM SIGMOD international conference on Management of data,68.0
In Proceedings of the 2009 IEEE International Conference on Data Engineering,9.0
In Proceedings of the 2010 international conference on Management of Data (SIGMOD,7.0
"In Proceedings of the 2011 ACM SIGMOD International Conference on Management of data, SIGMOD 11",3.0
"In Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data, SIGMOD 12",56.0
"In Proceedings of the 2014 ACM SIGMOD International Conference on Management of Data, SIGMOD 14",4.0
In Proceedings of the 20th VLDB Conference,169.0
In Proceedings of the 21st International Conference on Very Large Data Bases (VLDB,80.0
In Proceedings of the 22nd International Conference on Data Engineering,12.0
In Proceedings of the 23 rd International Conference on Data Engineering,10.0
In Proceedings of the 23nd International Conference on Data Engineering,16.0
In Proceedings of the 23rd ACM SIGMOD International Conference on Management of Data,84.0
In Proceedings of the 24th International Conference on Data Engineering (Cancun,4.0
In Proceedings of the 25th International Conference on Very Large Data Bases,14.0
In Proceedings of the 25th VLDB,5.0
In Proceedings of the 27 th International Conference on Very Large Data Bases (VLDB 2001,38.0
In Proceedings of the 27th International Conference on Very Large Databases,28.0
"In Proceedings of the 28th International Conference on Very Large Data Bases (VLDB), Hong Kong",25.0
In Proceedings of the 28th VLDB Conference,3.0
In Proceedings of the 31st International Conference on Very Large Data Bases,0.0
"In Proceedings of the 32nd International Conference on Very Large Data Bases, Seoul, Korea",1.0
In Proceedings of the 32nd VLDB Conference (Demo Session,87.0
In Proceedings of the 32nd international conference on Very large data bases,2.0
"In Proceedings of the 33rd International Conference on Very Large Data Bases (VLDB07), Viena",97.0
In Proceedings of the 8th International Conference on Extending Database Technology (EDBT,59.0
"In Proceedings of the 9th International Conference on Extending Database Technology (EDBT04), Heraklion",11.0
In Proceedings of the 9th International Workshop on Database Programming Languages (DBPL 2003,54.0
In Proceedings of the ACM SIGMOD,20.0
In Proceedings of the ACM SIGMOD 2003,115.0
In Proceedings of the ACM SIGMOD Conference,49.0
In Proceedings of the ACM SIGMOD Conference on Management of Data,210.0
In Proceedings of the ACM SIGMOD International Conference on Management of Data,219.0
In Proceedings of the ACM SIGMOD International Conference on Management of Data (SIGMOD,34.0
In Proceedings of the ACM SIGMOD International Conference on Management of Data (SIGMOD05). ACM,24.0
In Proceedings of the ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,8.0
In Proceedings of the ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems (PODS,48.0
In Proceedings of the ACM SIGMOD/PODS Conference on Management of Data,15.0
In Proceedings of the ACM Symposium on Principles of Database Systems,197.0
In Proceedings of the ACM Symposium on Principles of Database Systems (PODS,78.0
In Proceedings of the Fourth IEEE International Conference on Data Mining,14.0
In Proceedings of the ICDM workshop,20.0
In Proceedings of the International Conference of Data Engineering (IEEE ICDE,101.0
In Proceedings of the International Conference on Data Engineering,4.0
In Proceedings of the International Conference on Data Engineering (ICDE,66.0
In Proceedings of the International Conference on Data Engineering (ICDE 2008,2.0
In Proceedings of the International Conference on Data Engineering (ICDE). IEEE Computer Society,18.0
"In Proceedings of the International Conference on Data Engineering, ICDE",8.0
In Proceedings of the International Conference on Extending Database Technology,92.0
In Proceedings of the International Conference on Extending Database Technology (EDBT,56.0
In Proceedings of the International Conference on Extending Database Technology (EDBT-96,16.0
In Proceedings of the International Conference on Management of Data (SIGMOD10,234.0
In Proceedings of the International Conference on Very Large Data Bases,12.0
In Proceedings of the International Conference on Very Large Databases,117.0
In Proceedings of the International Conference on Very Large Databases (VLDB 98,48.0
In Proceedings of the International Workshop on Data Management for Sensor Networks (DMSN,6.0
In Proceedings of the SIGMOD Conference,27.0
"In Proceedings of the SIGMOD Conference, Demonstration Program",6.0
In Proceedings of the Seventh International Workshop on the Web and Databases (WebDB,2.0
In Proceedings of the Sixth IEEE International Conference on Data Mining (ICDM06,7.0
In Proceedings of the Twenteenth ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,9.0
In Proceedings of the Twenty Fourth ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,56.0
In Proceedings of the Twenty-Second ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,6.0
In Proceedings of the Twenty-Second Conference on Very Large Databases,36.0
In Proceedings of the Twenty-fourth ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,22.0
In Proceedings of the VLDB Conference,51.0
In Proceedings of the Workshop on the Intersections between Geospatial Information and Information Technology,46.0
"In Proceedings, 7th International Conference on Extending Database Technology",157.0
In SIGMOD,7413.0
In SIGMOD &apos;06: Proceedings of the 2006 ACM SIGMOD international conference on Management of data,7.0
In SIGMOD 05,12.0
In SIGMOD 05: Proceedings of the 2005 ACM SIGMOD international conference on Management of data,198.0
In SIGMOD 06: Proceedings of the 2006 ACM SIGMOD international conference on Management of data,161.0
In SIGMOD 08: Proceedings of the 2008 ACM SIGMOD international conference on Management of data,60.0
In SIGMOD 09: Proceedings of the 35th SIGMOD International Conference on Management of Data,37.0
In SIGMOD 10: Proceedings of the 36th International Conference on Management of Data,6.0
In SIGMOD 14,6.0
"In SIGMOD 1997, Proceedings ACM SIGMOD International Conference on Management of Data",8.0
In SIGMOD 2004,39.0
In SIGMOD 2008,32.0
In SIGMOD 2008: Proceedings of the 2008 ACM SIGMOD International Conference on Management of data,74.0
In SIGMOD 2009,36.0
In SIGMOD 2014. ACM,6.0
In SIGMOD Conference,1244.0
In SIGMOD Conference Proceedings,7.0
In SIGMOD Demo,20.0
In SIGMOD Rec. 1,13.0
In SIGMOD Record,2.0
"In SIGMOD,pages12231226,2010",6.0
In SIGMOD. ACM,0.0
In SIGMOD13,8.0
In Sigmod,5.0
In Symposium on Principles of Database Systems (PODS). ACM,2.0
In TKDE 2006,4.0
In TKDE Journal,216.0
"In Technical Report, IITB",5.0
"In Technical Report, http://www.cse.cuhk.edu.hk/Â°‚Â¨Â¢‚Â°Â¢‚Â»dd",3.0
In The 1st VLDB Workshop DMSN04,8.0
In The International Journal on Very Large Data Bases (VLDB J,18.0
In The VLDB Journal,1779.0
In VLDB,6437.0
In VLDB 05: Proceedings of the 31st international conference on Very large data bases,56.0
In VLDB 06: Proceedings of the 32nd International Conference on Very Large Data Bases,38.0
In VLDB 11,58.0
In VLDB 2006: Proceedings of the 32nd international conference on Very large data bases,116.0
In VLDB 2007,13.0
In VLDB 2008,31.0
In VLDB Conf,80.0
In VLDB Conference,26.0
In VLDB Conference. 619630,13.0
In VLDB Demo,3.0
In VLDB PhD Workshop,5.0
In VLDB Workshop on Accelerating Data Management Systems Using Modern Processor and Storage Architectures,32.0
"In VLDB&apos;97, Proceedings of 23rd International Conference on Very Large Data Bases",5.0
"In VLDB,2006",24.0
In VLDB2006: Proceedings of the 32nd international conference on Very large data bases,10.0
In Very Large Data Bases (VLDB,142.0
In WWW,206.0
In WWW (poster,10.0
In WebDB,82.0
In Workshop on Information Integration on the Web (IIWEB,14.0
In Workshops proc. of ICDE,5.0
In proceedings of ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge,11.0
"In the 11th International Workshop on Foundations of Models and Languages for Data and Objects (Query Languages and Query Processing), LNCS 4254, 687699",9.0
In the 24th ACM SIGMOD International Conference on Management of Data,42.0
"In the Proceedings of the Third Workshop on Spatio-Temporal Database Management (co-located with VLDB2006), Seoul, Korea",2.0
In the Second International Workshop on Multimedia Data Document Engineering (held in conjunction with EDBT,4.0
In to appear Proc. 22nd Int. Conf. on Data Engineering (ICDE,42.0
"In: 4th IEEE International Conference on Data Mining, IEEE Computer Society",17.0
In: EDBT (2009,4.0
In: EDBT (2011,1.0
In: ICD,8.0
In: ICDE,7.0
In: ICDE Workshops,2.0
In: ICDE15. (2015) 459470,1.0
In: ICDM (2006,52.0
In: IEEE Trans. on Knowl. and Data Eng,22.0
In: PODS (2008,83.0
In: Proc of ACM,148.0
In: Proc. ICDE,3.0
In: Proc. ICDE Workshop DBRank. (2010,2.0
"In: Proc. of the 32nd International Conference on Very Large Data Bases (VLDB06), Seoul, Korea",48.0
In: Proc. of the 8th Intl. Conf. on Extending Database Technology; Prague; Czech Republic,9.0
"In: Proc. of the Intl Conf. on Extending Database Technology: Advances in Database Technology, EDBT",10.0
"In: Proceedings VLDB 2006, Seoul, Korea",15.0
In: Proceedings of the 11th International Conference on Extending Database Technology,7.0
In: Proceedings of the 12th International Conference on Extending Database Technology (EDBT,6.0
"In: Proceedings of the 21st International Conference on Data Engineering, ICDE",9.0
"In: Proceedings of the 30th International Conference on Very Large Data Bases-Volume 30, 2004, 9981009 Comput. Sci",32.0
"In: Proceedings of the 32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems, PODS 2013, ACM",2.0
In: SIGMOD,22.0
In: SIGMOD 04: Proceedings of the 2004 ACM SIGMOD international conference on Management of data,1.0
In: SIGMOD 05: Proceedings of the 2005 ACM SIGMOD International Conference on Management of Data,36.0
In: SIGMOD 09: ACM SIGMOD international conference on Management of data,27.0
In: SIGMOD 2015,4.0
In: SIGMOD Conference,38.0
In: TKDE (2011,1.0
In: Third Biennial Conference on Innovative Data Systems Research,12.0
In: VLDB,34.0
In: VLDB (2008,12.0
In: VLDB 2006,15.0
In: VLDB PhD Workshop,9.0
InDemo Session Proceedings of SIGMOD&apos;99,1.0
Inf. Sci.,72.0
Inf. Syst.,7643.0
Information & Knowledge Management (CIKM); 2013 ACM 22nd International Conference on,6.0
Information Systems - Special issue: Best papers from EDBT 2002,134.0
Int. Conf of Very Large Databases (VLDB)(September 2003),8.0
Int. J. Machine Learning &amp; Cybernetics,0.0
International Conference on Data Engineering,672.0
International Conference on Extending DB Technology,0.0
International Conference on Extending Database Technology,336.0
International Conference on Extending Database Technology - EDBT'98,44.0
International Conference on Management of Data,65.0
International Conference on Management of Data: Proceedings of the 1978 ACM SIGMOD international conference on management of data: Austin; Texas,0.0
International Conference on Management of Data: Proceedings of the 1993 ACM SIGMOD international conference on Management of data,97.0
International Conference on Management of Data: Proceedings of the 2007 ACM SIGMOD international conference on Management of data,57.0
International Conference on Very Large Data Bases,85.0
International Conference on Very Large Data Bases: September 3-6; 1991; Barcelona (Catalonia; Spain),1.0
International Conference on Very large DataBases (VLDB 1999),22.0
International Journal for Numerical Methods in Engineering,0.0
International Semantic Web Conference,0.0
International Workshop on Databases; Information Systems and Peer-to-Peer Computing (DBISP2P08); in conjunction with VLDB,0.0
International Workshop on Peerto-Peer Computing &amp; DataBases (P2P&amp;DB 2004,6.0
Internet QoE '17,0.0
Internet-QoE '16,6.0
Internet-QoE@SIGCOMM,1.0
Invited paper in in 2nd International Workshop on Business intelligencE and the WEB (BEWEB) in conjunction with EDBT,2.0
J. ACM,342.0
J. Comput. Sci. Technol.,32.0
J. Comput. Syst. Sci.,121.0
J. Data and Information Quality,0.0
J. Inf. Sci. Eng.,0.0
J. Parallel Distrib. Comput.,0.0
JOURNAL OF PRIVACY TECHNOLOGY ,61.0
Journal of Computer Research and Development,137.0
Journal of Computer and System Sciences,67.0
Journal of Data and Information Quality (JDIQ),11.0
Journal of The ACM,11.0
Journal of Theoretical Biology,13.0
Journal of the ACM,83.0
Journal of the ACM (JACM),224.0
Journes Bases de Donnes Avances,63.0
KDD '00,32.0
KDD '01,12.0
KDD '07,59.0
KDD '08,76.0
KDD '12,72.0
KDD '99,9.0
KES,6.0
KNOWLEDGE AND DATA ENGINEERING,20.0
KRDB,0.0
KSEM,8.0
Knowl Data Eng IEEE Trans,7.0
Knowl. Inf. Syst.,274.0
"Knowledge and Data Engineering, IEEE Transactions",456.0
"Knowledge and Data Engineering, IEEE Transactions  ",249.0
LID,5.0
Logic in Databases,0.0
MDM,0.0
MEDES,11.0
MIR '08,3.0
MLBS '11,0.0
MM '07,23.0
MM '14,1.0
MMDB '04,33.0
MULTIMEDIA '97,55.0
Manuscript (full version of RSS92b]; which appeared in VLDB92),5.0
"Mashup, Proc. ACM SIGMOD",4.0
Materialized view selection for multidimensional datasets,371.0
Materialized views,258.0
"Mller, Paula-Lavinia Patranjan, Kai-Uwe Sattler, Myra Spiliopoulou, and Jef Wijsen, editors, EDBT Workshops, volume 4254 of Lecture",12.0
NDA '16,5.0
NDA@SIGMOD,34.0
OJIOT,1.0
Open Journal of Internet of Things. Special Issue: Proceedings  roceedings of the International Workshop on Very Large Internet of Things (VLIoT 2017) in conjunction with the VLDB 2017 Conference,1.0
Optics Express,37.0
Outlier Detection for Temporal Data,307.0
"Outlier Detection for Temporal Data,Synthesis Lectures on Data Mining and Knowledge Discovery",0.0
PADS '05,0.0
PIKM,84.0
PIKM '07,8.0
PIKM '08,4.0
PIKM '11,0.0
PIKM '13,0.0
PIKM@CIKM,0.0
PODS,18929.0
PODS '00,272.0
PODS '01,176.0
PODS '02,340.0
PODS '03,528.0
PODS '04,282.0
PODS '05,207.0
PODS '06,353.0
PODS '07,293.0
PODS '08,420.0
PODS '09,116.0
PODS '10,235.0
PODS '11,160.0
PODS '12,55.0
PODS '13,85.0
PODS '14,110.0
PODS '15,69.0
PODS '16,35.0
PODS '16: Proceedings of the 35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,11.0
PODS '17,29.0
PODS '82,21.0
PODS '83,133.0
PODS '84,6.0
PODS '85,77.0
PODS '86,346.0
PODS '86 Proceedings of the fifth ACM SIGACT-SIGMOD symposium on Principles of database systems,19.0
PODS '87,52.0
PODS '88,118.0
PODS '89,71.0
PODS '90,203.0
PODS '91,56.0
PODS '92,135.0
PODS '93,116.0
PODS '94,119.0
PODS '95,210.0
PODS '96,250.0
PODS '97,232.0
PODS '97 Proceedings of the sixteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,44.0
PODS '98,151.0
PODS '99,844.0
PODS '99 Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,26.0
PODS 2003,0.0
PODS 2004,52.0
PODS 2005,22.0
PODS&apos;07,197.0
PODS&apos;08,190.0
PODS&apos;09,27.0
PPoPP 2015,4.0
PROC. 17TH SYMMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS (PODS),33.0
PROC. INT. CONF. ON DATA ENGINEERING (ICDE06),3.0
PROC. OF PODS,7.0
PROC. OF THE 18TH ACM SIGMOD-SIGACT-SIGART SYMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS (PODS,5.0
PROC. VLDB,7.0
PROCEEDINGS 32 ND VLDB CONFERENCE,108.0
PROCEEDINGS OF THE 1994 ACM SIGMOD INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA,2112.0
PROCEEDINGS OF THE ELEVENTH ACM SYMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS,41.0
PROCEEDINGS OF THE EZTENDING DATABASE TECHNOLOGY CONFERENCE (EDBT96),33.0
PVLDB,76897.0
PVLDB 2 (1): 73-84 (2009),0.0
PVLDB 2015,12.0
PersDB,10.0
PhD '11,1.0
PhD '12,3.0
PhD@VLDB,0.0
Predictive load control for flexible buffer allocation,80.0
Privacy-preserving data publishing,309.0
Pro. 3rd Int'l Conf. on Extending Database Technology,1.0
Proc 20th  CIKM,5.0
Proc of the 2003 ACM SIGMOD International Conference on Management of Data,2.0
Proc of the 22nd Intl Conf on VLDB. Bombay; India,3.0
Proc.  13th Int.Conf. on Extending Database Technology (EDBT),41.0
Proc.  2005 ACM SIGMOD Int. Conf. on Management of Data,114.0
Proc.  20th ACM CIKM (Conf. on Information and Knowledge Management),4.0
"Proc. 12 th International Conference on Extending Database Technology: Advances in Database Technology, ACM",7.0
"Proc. 15mes Journes Bases de Donnes Avances, BDA",241.0
Proc. 15th Int.Conf. on Extending Database Technology (EDBT),35.0
Proc. 16th ACM CIKM (Conf. on Information and Knowledge Management),95.0
Proc. 16th Int. Conference on Data Engineering (ICDE2000),18.0
Proc. 17th International Conference on Extending Database Technology (EDBT); Athens; Greece; March 24-28; 2014.,27.0
Proc. 1996 SiGMOD,436.0
Proc. 1998 SIGMOD Workshop on Research Issues on Data Mining and Knowledge Discovery (DMKD'98),76.0
Proc. 19th Int. Conf. on Very Large Data Bases,69.0
Proc. 2001 Int. Cond. Data Engineering (ICDE'01),4.0
Proc. 2003 ACM SIGMOD Int. Conf. on Management of Data,427.0
Proc. 2005 ACM SIGMOD Int. Conf. on Management of Data,748.0
Proc. 21st IEEE Intl Conf. Data Eng. (ICDE,3.0
Proc. 22th Int. Conf. on Very Large Data Bases,96.0
Proc. 24th ACM SIGMOD Intl Conf. Management of Data (SIGMOD,60.0
Proc. 26th Int.  Conf.  on Very Large Data Bases,41.0
Proc. 26th Int. Conf. on Very Large Data Bases,199.0
Proc. 26th VLDB,121.0
Proc. 26th VLDB Conference,21.0
Proc. 27th  Int. Conf. on Very Large Data Bases; 2001,1891.0
Proc. 27th Int. Conf. on Very Large Data Bases,33.0
Proc. 28th Int. Conf. on Very Large Data Bases,1414.0
Proc. 28th VLDB,2.0
Proc. 30th Intl Conf. Very Large Data Bases (VLDB,125.0
Proc. 33rd Intl Conf. Very Large Data Bases (VLDB 07,28.0
Proc. 34th Very Large Data Bases Conf,12.0
Proc. 3rd ACM CIKM (Conf. on Information and Knowledge Management),25.0
Proc. 4th IEEE International Conference on Data Mining,13.0
Proc. ACM CIKM&apos;98 Workshop on Web Information and Data Management (WIDM&apos;98,11.0
Proc. ACM CIKM'98 Workshop on Web Information and Data Management (WIDM'98,54.0
Proc. ACM PODS,17.0
Proc. ACM SIGMOD,27.0
Proc. ACM SIGMOD &apos;98,12.0
Proc. ACM SIGMOD Con,159.0
Proc. ACM SIGMOD International Conference on Management of Data,60.0
"Proc. ACM SIGMOD International Conference on Management of Data, 2011",4.0
Proc. ACM Symposium on Principles of Database Systems,22.0
Proc. ACMSIGMOD Conf,18.0
"Proc. BDA2001. A. Halevy;"" Answering Queries Using Views: a Survey""; The VLDB Journal",1.0
Proc. ICDE; 2003,19.0
Proc. IEEE 25th Intl Conf. Data Eng. (ICDE,13.0
Proc. IEEE Intl Conf. Data Eng. (ICDE,27.0
Proc. InG CO 00 Afan (WerneM I) OM; ACM SIGMOD; Washington;  Â¢‚Â°   Â¢‚Â°   Â¢‚Â»  Â¢‚Â¤   Â¢‚Â» Â¢‚Â° Â¢‚Â»Â¢‚Â°  Â¢‚Â»  Â¢‚Âµ     Â¢‚Â»Â¢‚Â¦ U,2.0
Proc. Int. Conference on Very Large Databases ,10.0
Proc. Intl Conf. Data Eng,1.0
Proc. Intl Conf. Data Eng.(ICDE10),17.0
Proc. Of 29th VLDB Conference,5.0
Proc. SIGMOD,5.0
Proc. Third IEEE Intl Conf. Data Mining (ICDM 03,9.0
Proc. VLDB Endow,14.0
Proc. VLDB Endow. 4 (2011) 397408. URL http://portal.acm.org/citation.cfm?id=1978665.1978671,5.0
Proc. VLDB Endowment,17.0
Proc. VLDB2011 PhD Workshop; co-located with 37th Int. Conf. Very Large Databases (VLDB),2.0
Proc. of 1998 SIGMOD Workshop on Research Issues on Data Mining and Knowledge Discovery (DMKD98),7.0
Proc. of 1st Intl Workshop on Searching and Integrating New Web Data Sources (VLDS VLDB Workshops),0.0
Proc. of 2014 ACM SIGMOD Int. Conf. on Management of Data,10.0
Proc. of 29th International Conference on Very Large Data Bases,5.0
Proc. of 2nd ACM SIGMOD Workshop WebDB99,17.0
Proc. of 30th. International Conference on Very Large Data Bases' 04,41.0
Proc. of 5th Intl Work. on Personalized Access Profile Management and Context Awareness in Databases (PersDB VLDB Workshops),3.0
Proc. of EDBT,38.0
Proc. of VLDB,108.0
Proc. of the 15th IEEE International Conference on Data Engineering (ICDE),22.0
Proc. of the 18th Int. Conference on VLDB,4.0
Proc. of the 1994 SIGMOD Conference,22.0
Proc. of the 2005 ACM SIGMOD International Conference on Management of Data,5.0
Proc. of the 22nd Intl Conf. on Data Engineering;(ICDE06),2.0
Proc. of the 26th ICDE Conf,10.0
